FID,Iteration,Latitude,Longitude,State,Lake,Lake ID,Lake Size km2,Number of Lakes in Buffer,Infected?,Infect Reduction Type,HSI,Probability of Infection,Boat Threshold,Initial Boats,Uninfected Boats Arriving,Infected Boats Arriving,Total Boats Arriving,Total Boats Leaving
308,0,46.641,-121.167,WA,RIMROCK RESERVOIR,0,10.306,0,FALSE,Null,2.77E-04,1,100,6570.5534,518.7187356,14.63914555,533.3578812,6570.5534
276,0,39.204,-111.669,UT,PALISADES LAKE,0,0.27,0,FALSE,Null,1,1,100,126.8267,47.09445481,4.774435148,51.86888996,126.8267
160,0,41.713,-104.196,WY,HAWK SPRINGS RESERVOIR,0,3.845,0,FALSE,Null,1,1,100,400.0462,189.389493,9.141544844,198.5310379,400.0462
180,0,32.8834,-114.4676,AZ-CA,IMPERIAL RESERVOIR,0,5.749,0,TRUE,Null,0.98488578,0,100,5445.2764,113.7954724,637.6684246,751.4638971,5445.2764
27,0,39.451014,-105.860042,CO,JEFFERSON LAKE,0,0.362,0,FALSE,Null,0.294108823,1,100,99.007,63.06248567,1.522399845,64.58488552,99.007
400,0,38.839,-120.057,CA,ECHO LAKE Lower,0,1.333,0,FALSE,Null,1.51E-04,1,100,2326.9722,387.1689419,7.510900901,394.6798428,2326.9722
196,0,47.515,-116.556,ID,KILLARNEY LAKE,0,2.03,0,FALSE,Null,1.40E-04,1,100,798.73128,61.75069946,3.373889329,65.12458879,798.73128
361,0,37.141071,-104.552007,CO,TRINIDAD RESERVOIR,0,5.027,0,FALSE,Null,0.950894316,1,100,155.2376667,401.2144706,20.46136868,421.6758393,155.2376667
112,0,44.027,-103.786,SD,DEERFIELD LAKE,0,1.327,0,FALSE,Null,0.982445927,1,100,1449.4118,178.2651122,2.252272022,180.5173842,1449.4118
37,0,37.798741,-107.090647,CO,SANTA MARIA RES,0,2.167,0,FALSE,Null,2.81E-04,1,100,11.4392,106.919748,15.69716538,122.6169134,11.4392
82,0,32.91162,-107.30596,NM,CABALLO RESERVOIR,0,12.915,0,TRUE,Null,1,1,100,188.2581,324.4440834,119.0458445,443.4899279,188.2581
278,0,37.715,-112.638,UT,PANGUITCH LAKE,0,4.257,0,TRUE,Null,1,1,100,145.9946,341.3348286,144.3028283,485.637657,145.9946
61,0,33.882,-111.617,AZ,BARTLETT RESERVOIR,0,6.807,0,TRUE,Null,0.958138103,1,100,17945.607,1999.89818,4664.450385,6664.348564,17945.607
113,0,39.617526,-106.059521,CO,DILLON RESERVOIR,0,13.008,0,FALSE,Null,0.792313069,1,100,431.8841,1662.20136,55.68860882,1717.889968,431.8841
49,0,43.913,-114.861,ID,ALTURAS LAKE,0,3.39,0,FALSE,Null,2.24E-04,1,100,205.4712,82.24520435,12.03582702,94.28103136,205.4712
133,0,38.5471,-111.7219,UT,FISH LAKE (UT),0,10.447,0,TRUE,Null,0.492164556,1,100,92.1652,588.3009146,279.9275565,868.2284711,92.1652
290,0,37.350898,-106.550327,CO,PLATORO RESERVOIR,0,1.713,0,FALSE,Null,2.83E-05,1,100,76.24926667,116.2256043,11.09238805,127.3179923,76.24926667
381,0,39.4,-99.426,KS,WEBSTER RESERVOIR,0,3.838,0,FALSE,Null,0.948683298,1,100,151.0988,124.5616447,15.98068284,140.5423275,151.0988
339,0,40.08434,-102.2737,CO,STALKER LAKE,0,0.051,0,FALSE,Null,0.918993515,1,100,284.2424,2.268117191,0.118612543,2.386729734,284.2424
393,0,42.15508611,-121.6635389,OR,WILSON RESERVOIR,0,0.824,0,FALSE,Null,0.934281611,1,100,490.84485,58.47353902,2.054076727,60.52761575,490.84485
73,0,43.92,-116.405,ID,BLACK CANYON RESERVOIR,0,3.547,0,FALSE,Null,2.82E-04,1,100,483.451,244.6236063,11.64948331,256.2730896,483.451
60,0,39.94815,-104.74901,CO,BARR LAKE,0,6.975,0,FALSE,Null,0.915950326,1,100,6045.2552,5446.445007,22.39739088,5468.842398,6045.2552
143,0,33.514,-111.69,AZ,GRANITE REEF DIVERSION DAM,0,0.5,0,TRUE,Null,0.959166305,1,100,17945.607,183.4077338,817.83141,1001.239144,17945.607
353,0,38.82475,-106.580638,CO,TAYLOR PARK RESERVOIR,0,8.247,0,FALSE,Null,0.487878571,1,100,117.4147,649.4549788,44.71897937,694.1739582,117.4147
317,0,33.575,-111.536,AZ,SAGUARO LAKE,0,2.267,0,TRUE,Null,0.961769203,0,100,17945.607,5019.431983,1717.223446,6736.655429,17945.607
192,0,39.809,-99.941,KS,KEITH SEBELIUS RESERVOIR,0,1.972,0,FALSE,Null,0.8875,1,100,172.8912,46.78484174,5.630108928,52.41495067,172.8912
52,0,43.30429,-103.40689,SD,ANGOSTURA RESERVOIR,0,19.235,0,FALSE,Null,0.957862203,1,100,217.5258,837.4028198,34.22802609,871.6308459,217.5258
179,0,41.6256,-111.8663,UT,HYRUM RESERVOIR,0,1.748,0,FALSE,Null,0.946044396,1,100,742.29005,221.8691344,11.47663975,233.3457741,742.29005
13,0,41.92608889,-121.0756361,OR,CLEAR LAKE (OR),0,100.99,0,TRUE,Null,1.48E-04,1,100,3375.3966,3310.678259,284.1877078,3594.865967,3375.3966
288,0,40.3637,-105.2835,CO,PINEWOOD LAKE,0,0.369,0,FALSE,Null,1.80E-04,1,100,405.6177091,200.7277398,1.229385065,201.9571249,405.6177091
181,0,39.034135,-108.003058,CO,ISLAND LAKE,0,0.583,0,FALSE,Null,3.01E-04,1,100,10.6247,182.533225,4.551636797,187.0848618,10.6247
389,0,41.3795,-112.0917,UT,WILLARD BAY RESERVOIR,0,40.434,0,TRUE,Null,1,1,100,430.7679333,5592.490013,290.1975285,5882.687541,430.7679333
11,0,42.937,-115.963,ID,C.J. STRIKE RESERVOIR,0,25.427,0,TRUE,Null,0.885516798,1,100,406.0493667,734.5594561,108.1631591,842.7226152,406.0493667
8,0,40.3872,-105.133,CO,BOEDECKER RESERVOIR,0,1.521,0,FALSE,Null,0.97851929,1,100,405.6177091,1403.553345,4.924947841,1408.478293,405.6177091
224,0,46.209,-116.84,ID,LAKE WAHA,0,0.373,0,FALSE,Null,0.995,1,100,584.4852,79.79166804,0.763259294,80.55492733,584.4852
138,0,35.581,-99.212,OK,FOSS LAKE,0,31.363,0,TRUE,Null,0.970824392,0,100,800.1648,2187.609567,46.78836145,2234.397928,800.1648
296,0,39.37804,-120.14324,CA,PROSSER CREEK RESERVOIR,0,2.799,0,FALSE,Null,3.01E-04,1,100,1514.0831,843.1236846,14.12041337,857.2440979,1514.0831
110,0,44.291658,-115.654684,ID,DEADWOOD RESERVOIR (inflow),0,11.982,0,FALSE,Null,2.99E-04,1,100,74.6444,281.8019054,37.82676754,319.6286729,74.6444
118,0,40.706409,-106.452489,CO,EAST DELANEY BUTTE LAKE,0,0.265,0,FALSE,Null,1,1,100,8.49252,25.93066597,1.03196682,26.96263279,8.49252
260,0,37.522,-112.764,UT,NAVAJO LAKE,0,1.695,0,FALSE,Null,0.595135823,1,100,206.0142,103.5879728,63.37947529,166.967448,206.0142
10,0,38.44,-109.0446,CO,BUCKEYE RESERVOIR,0,0.442,0,FALSE,Null,0.85874909,1,100,1189.4958,16.0284642,6.291270127,22.31973433,1189.4958
69,0,37.540888,-106.80299,CO,BIG MEADOWS RESERVOIR,0,0.456,0,FALSE,Null,2.88E-04,1,100,11.4392,44.54216743,3.118560411,47.66072784,11.4392
74,0,42.885,-111.629,ID,BLACKFOOT RESERVOIR,0,68.159,0,TRUE,Null,1,1,100,660.2759333,2043.593799,308.316846,2351.910645,660.2759333
65,0,44.737,-103.677,SD,BELLE FOURCHE RESERVOIR,0,24.711,0,FALSE,Null,0.964365076,1,100,290.2154,1148.669625,38.05687159,1186.726497,290.2154
71,0,45.0956,-108.2132,WY-MT,BIGHORN LAKE (Inflow),0,40.429,0,FALSE,Null,1,1,100,160.0100333,760.8420944,89.98728856,850.829383,160.0100333
311,0,43.579725,-111.740432,ID,RIRIE RESERVOIR,0,5.657,0,FALSE,Null,0.959166305,1,100,1382.84,127.1669015,21.59012617,148.7570277,1382.84
43,0,38.377,-115.108,NV,ADAMS-MCGILL RESERVOIR,0,2.739,0,FALSE,Null,1,1,100,662.7134,647.6037375,72.05102637,719.6547638,662.7134
194,0,40.613,-122.446,CA,KESWICK RESERVOIR,0,0.371,0,FALSE,Null,0.383161193,1,100,1749.956267,451.8498827,0.996460769,452.8463434,1749.956267
201,0,40.135,-105.19,CO,LAGERMAN RESERVOIR,0,0.301,0,FALSE,Null,0.976858229,1,100,2192.6883,640.6725232,1.017288043,641.6898112,2192.6883
26,0,39.347513,-110.94731,UT,HUNTINGTON LAKE,0,0.744,0,FALSE,Null,0.997496867,1,100,126.8267,29.38079896,12.15788947,41.53868843,126.8267
