FID,Iteration,Latitude,Longitude,State,Lake,Lake ID,Lake Size km2,Number of Lakes in Buffer,Infected?,Infect Reduction Type,HSI,Probability of Infection,Boat Threshold,Initial Boats,Uninfected Boats Arriving,Infected Boats Arriving,Total Boats Arriving,Total Boats Leaving
308,0,46.641,-121.167,WA,RIMROCK RESERVOIR,0,10.306,0,FALSE,Null,2.77E-04,1,1000,6570.5534,518.7187356,14.63914555,533.3578812,6570.5534
276,0,39.204,-111.669,UT,PALISADES LAKE,0,0.27,0,FALSE,Null,1,1,1000,126.8267,47.09445481,4.774435148,51.86888996,126.8267
160,0,41.713,-104.196,WY,HAWK SPRINGS RESERVOIR,0,3.845,0,FALSE,Null,1,1,1000,400.0462,189.389493,9.141544844,198.5310379,400.0462
180,0,32.8834,-114.4676,AZ-CA,IMPERIAL RESERVOIR,0,5.749,0,TRUE,Null,0.98488578,0,1000,5445.2764,113.7954725,637.6684246,751.4638971,5445.2764
27,0,39.451014,-105.860042,CO,JEFFERSON LAKE,0,0.362,0,FALSE,Null,0.294108823,1,1000,99.007,63.06248567,1.522399845,64.58488552,99.007
400,0,38.839,-120.057,CA,ECHO LAKE Lower,0,1.333,0,FALSE,Null,1.51E-04,1,1000,2326.9722,387.1689419,7.510900901,394.6798428,2326.9722
196,0,47.515,-116.556,ID,KILLARNEY LAKE,0,2.03,0,FALSE,Null,1.40E-04,1,1000,798.73128,61.75069946,3.373889329,65.12458879,798.73128
361,0,37.141071,-104.552007,CO,TRINIDAD RESERVOIR,0,5.027,0,FALSE,Null,0.950894316,1,1000,155.2376667,401.2144706,20.46136868,421.6758393,155.2376667
112,0,44.027,-103.786,SD,DEERFIELD LAKE,0,1.327,0,FALSE,Null,0.982445927,1,1000,1449.4118,178.2651122,2.252272022,180.5173842,1449.4118
37,0,37.798741,-107.090647,CO,SANTA MARIA RES,0,2.167,0,FALSE,Null,2.81E-04,1,1000,11.4392,106.919748,15.69716538,122.6169134,11.4392
82,0,32.91162,-107.30596,NM,CABALLO RESERVOIR,0,12.915,0,FALSE,Null,1,1,1000,188.2581,324.4440834,119.0458445,443.4899279,188.2581
